temperature,percent_growth,feeding_rate
15.7,59.823501,1.78571429
9.1,21.142474,0.76190476
19.08,129.964502,2.92857143
11.38,29.175739,0.9047619
21.62,127.546083,1.47619048
12.9,58.666897,1.0952381
6.69,0.61178,0.38095238
7.2,14.189119,0.57142857
21.28,107.191033,1.73809524
19.04,80.10363,1.69047619
11.48,34.768882,1.04761905
13.1,34.136212,1.04761905
18.48,91.040723,1.64285714
17.32,88.580421,1.38095238
9.5,29.560725,0.76190476
5.04,-5.90753,0.16666667
15.2,92.463255,2.14285714
12.4,101.329597,1.52380952
5.76,-3.32699,0.30952381
